,fracs,gains,besty
0,0.0,0.0,0.0
1,0.01,0.009077155824508321,0.0453857791225416
2,0.02,0.01573373676248109,0.0907715582450832
3,0.03,0.02178517397881997,0.1361573373676248
4,0.04,0.028139183055975795,0.1815431164901664
5,0.05,0.034190620272314676,0.22692889561270804
6,0.06,0.04114977307110439,0.2723146747352496
7,0.07,0.04720121028744327,0.3177004538577913
8,0.08,0.05083207261724659,0.3630862329803328
9,0.09,0.05506807866868381,0.4084720121028744
10,0.1,0.06293494704992436,0.4538577912254161
11,0.11,0.0708018154311649,0.49924357034795763
12,0.12,0.07776096822995461,0.5446293494704992
13,0.13,0.08593040847201211,0.5900151285930408
14,0.14,0.09258698940998487,0.6354009077155826
15,0.15,0.1010590015128593,0.680786686838124
16,0.16,0.10892586989409984,0.7261724659606656
17,0.17,0.11709531013615734,0.7715582450832074
18,0.18,0.12375189107413011,0.8169440242057489
19,0.19,0.13161875945537066,0.8623298033282905
20,0.2,0.13918305597579425,0.9077155824508322
21,0.21,0.14583963691376703,0.9531013615733737
22,0.22,0.15219364599092283,0.9984871406959153
23,0.23,0.1594553706505295,1.0
24,0.24,0.16732223903177004,1.0
25,0.25,0.17397881996974282,1.0
26,0.26,0.1854765506807867,1.0
27,0.27,0.19606656580937973,1.0
28,0.28,0.20514372163388805,1.0
29,0.29,0.2136157337367625,1.0
30,0.3,0.22178517397881997,1.0
31,0.31,0.23116490166414524,1.0
32,0.32,0.24326777609682299,1.0
33,0.33,0.2526475037821483,1.0
34,0.34,0.26202723146747353,1.0
35,0.35000000000000003,0.2723146747352496,1.0
36,0.36,0.2807866868381241,1.0
37,0.37,0.291981845688351,1.0
38,0.38,0.3052950075642965,1.0
39,0.39,0.31437216338880486,1.0
40,0.4,0.3249621785173979,1.0
41,0.41000000000000003,0.34130105900151286,1.0
42,0.42,0.35340393343419063,1.0
43,0.43,0.36822995461422087,1.0
44,0.44,0.38305597579425116,1.0
45,0.45,0.39697428139183055,1.0
46,0.46,0.40937972768532527,1.0
47,0.47000000000000003,0.4236006051437216,1.0
48,0.48,0.43812405446293495,1.0
49,0.49,0.45204236006051435,1.0
50,0.5,0.4632375189107413,1.0
51,0.51,0.4771558245083207,1.0
52,0.52,0.4904689863842663,1.0
53,0.53,0.5074130105900151,1.0
54,0.54,0.5228441754916793,1.0
55,0.55,0.534947049924357,1.0
56,0.56,0.5446293494704992,1.0
57,0.5700000000000001,0.5503782148260212,1.0
58,0.58,0.5606656580937973,1.0
59,0.59,0.5694402420574887,1.0
60,0.6,0.5794251134644478,1.0
61,0.61,0.5897125567322239,1.0
62,0.62,0.6015128593040847,1.0
63,0.63,0.6111951588502269,1.0
64,0.64,0.6202723146747352,1.0
65,0.65,0.6335854765506808,1.0
66,0.66,0.6441754916792738,1.0
67,0.67,0.6532526475037822,1.0
68,0.68,0.6626323751891074,1.0
69,0.6900000000000001,0.6723146747352496,1.0
70,0.7000000000000001,0.6832072617246596,1.0
71,0.71,0.691981845688351,1.0
72,0.72,0.7049924357034796,1.0
73,0.73,0.7177004538577912,1.0
74,0.74,0.7307110438729199,1.0
75,0.75,0.7391830559757943,1.0
76,0.76,0.7518910741301059,1.0
77,0.77,0.7627836611195159,1.0
78,0.78,0.7736762481089259,1.0
79,0.79,0.7860816944024206,1.0
80,0.8,0.7984871406959153,1.0
81,0.81,0.811195158850227,1.0
82,0.8200000000000001,0.8196671709531014,1.0
83,0.8300000000000001,0.8311649016641453,1.0
84,0.84,0.8417549167927383,1.0
85,0.85,0.8535552193645991,1.0
86,0.86,0.864750378214826,1.0
87,0.87,0.8741301059001513,1.0
88,0.88,0.8832072617246596,1.0
89,0.89,0.8937972768532526,1.0
90,0.9,0.9043872919818456,1.0
91,0.91,0.9116490166414524,1.0
92,0.92,0.9231467473524962,1.0
93,0.93,0.9337367624810893,1.0
94,0.9400000000000001,0.9440242057488654,1.0
95,0.9500000000000001,0.9564296520423601,1.0
96,0.96,0.9670196671709531,1.0
97,0.97,0.9767019667170953,1.0
98,0.98,0.9827534039334342,1.0
99,0.99,0.9927382753403934,1.0
100,1.0,1.0,1.0
