,Area_Test,Area_Train,R2_Test,R2_Train
G:0.01_C:0.1_K:rbf_D:3.0_M:1000000,0.4425653060439349,0.45503251177821896,0.8567965682646875,0.8093793895076706
G:0.001_C:10.0_K:rbf_D:3.0_M:1000000,0.4406417112299465,0.4510142896079117,0.8506652744984107,0.8190470409904462
G:0.01_C:0.001_K:rbf_D:3.0_M:1000000,0.43914130727503564,0.44422380563018327,0.8448105160481268,0.8213486229698485
G:0.001_C:1.0_K:rbf_D:3.0_M:1000000,0.43640980263917206,0.4394034964762683,0.8194685667843884,0.8092114858709639
G:0.01_C:0.0001_K:rbf_D:3.0_M:1000000,0.43114684722809987,0.4353074017832808,0.9089917247515337,0.8952931263449024
,Area_Test,Area_Train,R2_Test,R2_Train
G:0.01_C:0.001_K:rbf_D:3_M:5000,0.43666208019224423,0.4533861462660612,0.8285575505081225,0.8263752596850351
G:0.01_C:0.0001_K:rbf_D:3_M:5000,0.4350729637022538,0.44982320548739235,0.9189216825665585,0.8943111722066542
G:0.01_C:0.1_K:rbf_D:3_M:5000,0.4326156469835857,0.4608211766979035,0.8370645575236937,0.8225133429786469
G:0.001_C:10.0_K:rbf_D:3_M:5000,0.42701885622371655,0.4621968891894501,0.8579790813094451,0.85084992989471
G:0.001_C:1.0_K:rbf_D:3_M:5000,0.42613515241952676,0.44649985508646506,0.8239593385508752,0.8181591353309163
G:0.001_C:0.1_K:rbf_D:3_M:5000,0.42502664677041135,0.44166167520046357,0.822326167777788,0.8180272568878033
G:0.1_C:1.0_K:rbf_D:3_M:5000,0.42037557411678067,0.6583286638972078,0.9304644583983033,0.7611163419303452
G:0.1_C:0.1_K:rbf_D:3_M:5000,0.41929807561868954,0.5877577045696067,0.8717548086685426,0.6367225867637398
G:0.1_C:0.001_K:rbf_D:3_M:5000,0.417398887618457,0.5126267993430584,0.7841212953920074,0.6498929108347176
