Activation | Hidden layers | Nodes | Area Test | R2 Test | Error rate 
----------------------------------------------------------------------
  tanh  |  1  |  5  |  0.47470  |  0.94622  |  0.184 
  tanh  |  2  |  5  |  0.46843  |  0.95650  |  0.183 
  tanh  |  3  |  5  |  0.43307  |  0.93399  |  0.178 
  tanh  |  1  |  10  |  0.47604  |  0.92664  |  0.188 
  tanh  |  2  |  10  |  0.48612  |  0.95801  |  0.178 
  tanh  |  3  |  10  |  0.44637  |  0.93522  |  0.183 
  tanh  |  1  |  20  |  0.47563  |  0.93488  |  0.183 
  tanh  |  2  |  20  |  0.47938  |  0.94087  |  0.184 
  tanh  |  3  |  20  |  0.46015  |  0.94324  |  0.181 
  tanh  |  1  |  50  |  0.46462  |  0.93647  |  0.184 
  tanh  |  2  |  50  |  0.47916  |  0.95330  |  0.182 
  tanh  |  3  |  50  |  0.48931  |  0.95707  |  0.181 
  tanh  |  1  |  100  |  0.46444  |  0.93205  |  0.188 
  tanh  |  2  |  100  |  0.48577  |  0.94064  |  0.186 
  tanh  |  3  |  100  |  0.48857  |  0.96337  |  0.182 
----------------------------------------------------------------------
  sigmoid  |  1  |  5  |  0.44705  |  0.86410  |  0.187 
  sigmoid  |  2  |  5  |  0.35931  |  0.55017  |  0.216 
  sigmoid  |  3  |  5  |  0.26102  |  0.63313  |  0.220 
  sigmoid  |  1  |  10  |  0.43648  |  0.88426  |  0.196 
  sigmoid  |  2  |  10  |  0.35867  |  0.59612  |  0.224 
  sigmoid  |  3  |  10  |  0.29144  |  0.62024  |  0.221 
  sigmoid  |  1  |  20  |  0.43760  |  0.84709  |  0.190 
  sigmoid  |  2  |  20  |  0.39922  |  0.78682  |  0.194 
  sigmoid  |  3  |  20  |  0.35547  |  0.71971  |  0.220 
  sigmoid  |  1  |  50  |  0.43304  |  0.82914  |  0.191 
  sigmoid  |  2  |  50  |  0.43020  |  0.85514  |  0.197 
  sigmoid  |  3  |  50  |  0.31044  |  0.54173  |  0.221 
  sigmoid  |  1  |  100  |  0.45246  |  0.84592  |  0.189 
  sigmoid  |  2  |  100  |  0.44161  |  0.84924  |  0.191 
  sigmoid  |  3  |  100  |  0.32145  |  0.56195  |  0.219 
----------------------------------------------------------------------
  relu  |  1  |  5  |  0.43835  |  0.93106  |  0.186 
  relu  |  2  |  5  |  0.07635  |  0.41438  |  0.215 
  relu  |  3  |  5  |  0.17765  |  0.37081  |  0.220 
  relu  |  1  |  10  |  0.45868  |  0.93831  |  0.186 
  relu  |  2  |  10  |  0.44645  |  0.92442  |  0.184 
  relu  |  3  |  10  |  0.44120  |  0.92698  |  0.181 
  relu  |  1  |  20  |  0.46837  |  0.94844  |  0.182 
  relu  |  2  |  20  |  0.44712  |  0.93176  |  0.184 
  relu  |  3  |  20  |  0.47273  |  0.95005  |  0.183 
  relu  |  1  |  50  |  0.46912  |  0.94875  |  0.190 
  relu  |  2  |  50  |  0.46350  |  0.95041  |  0.185 
  relu  |  3  |  50  |  0.47090  |  0.95374  |  0.186 
  relu  |  1  |  100  |  0.47178  |  0.92741  |  0.190 
  relu  |  2  |  100  |  0.47651  |  0.95984  |  0.181 
  relu  |  3  |  100  |  0.45260  |  0.83395  |  0.182 
----------------------------------------------------------------------
